id,card_id,price,quantity,color,date
1771786216780,17717853036098,50,0,bg-black/70,2026-02-22
1771798201176,17717941210190,100,1,bg-blue-500/80,2026-02-22
1771912380226,17717847757761,0,0,bg-black/70,2026-02-24
1772694167331,17721167900570,600,2,bg-red-500/80,2026-03-05
1772787582121,17720841704601,80,1,bg-black/70,2026-03-06
1772787608267,17717998204451,80,1,bg-black/70,2026-03-06
1772787621206,17717998204450,100,1,bg-blue-500/80,2026-03-06
1772787636313,17717998204457,80,0,bg-black/70,2026-03-06
1772787647964,17720934226397,80,1,bg-black/70,2026-03-06
1772787656710,17720934226394,80,1,bg-black/70,2026-03-06
1772787673217,177211035290013,180,1,bg-black/70,2026-03-06
1772787679007,177211035290012,180,1,bg-black/70,2026-03-06
1772787687506,17721167900578,250,0,bg-blue-500/80,2026-03-06
1772787703959,17718195532963,300,0,bg-blue-500/80,2026-03-06
1772787749433,17718224696484,300,1,bg-black/70,2026-03-06
1772787788412,17719121201942,230,1,bg-black/70,2026-03-06
1772787818363,177207511817211,350,1,bg-black/70,2026-03-06
1772787839596,177246245230227,350,1,bg-black/70,2026-03-06
1772787864568,177245959679930,380,1,bg-blue-500/80,2026-03-06
1772787885729,177245959679919,350,2,bg-black/70,2026-03-06
1772787894756,177245959679928,350,1,bg-black/70,2026-03-06
1772787907710,177245959679913,350,1,bg-black/70,2026-03-06
1772787923001,177245959679912,350,1,bg-black/70,2026-03-06
1772787930903,17725053038224,80,1,bg-black/70,2026-03-06
1772787941322,17724629454097,350,0,bg-black/70,2026-03-06
1772787955016,177245713228127,350,1,bg-black/70,2026-03-06
1772968401799,17720829355961,30,1,bg-black/70,2026-03-08
1772968413792,17720829660030,30,1,bg-black/70,2026-03-08
1772968431183,17720829660033,30,1,bg-black/70,2026-03-08
1772968437965,17720829660034,30,1,bg-black/70,2026-03-08
1772968543123,17717857801611,60,1,bg-black/70,2026-03-08
1772968553201,17717857801612,60,0,bg-black/70,2026-03-08
1772968558828,17717857801614,60,3,bg-black/70,2026-03-08
1772968601099,17717853036090,60,1,bg-black/70,2026-03-08
1772968691254,17717994598433,60,0,bg-black/70,2026-03-08
1772968818972,17720854287052,60,3,bg-black/70,2026-03-08
1772968836593,17720854287054,60,2,bg-black/70,2026-03-08
1772968855169,17720854869934,60,2,bg-black/70,2026-03-08
1772968894132,17720854869932,60,1,bg-black/70,2026-03-08
1772968939326,17720855967991,60,1,bg-black/70,2026-03-08
1772968973282,17720854287050,60,1,bg-black/70,2026-03-08
1772969021633,17720858668853,50,1,bg-black/70,2026-03-08
1772969035245,17720858668854,50,2,bg-black/70,2026-03-08
1772969073147,17720858668852,50,1,bg-black/70,2026-03-08
1772969183141,177178758599610,80,1,bg-blue-500/80,2026-03-08
1772969211767,17717910867491,50,2,bg-black/70,2026-03-08
1772969513880,17720954290371,30,2,bg-black/70,2026-03-08
1772969526974,17720954290372,30,2,bg-black/70,2026-03-08
1772969563508,17720954488612,50,2,bg-black/70,2026-03-08
1772969707113,17720954872482,30,2,bg-black/70,2026-03-08
1772969890181,17720957805502,30,1,bg-black/70,2026-03-08
1772969939858,17720957805503,30,3,bg-black/70,2026-03-08
1772969968142,17720957805504,50,1,bg-black/70,2026-03-08
1772969978443,17720957805506,10,1,bg-black/70,2026-03-08
1772973077247,17720954872480,50,1,bg-black/70,2026-03-08
1772973087285,17720954290370,80,1,bg-blue-500/80,2026-03-08
1772973112804,17720954872483,30,1,bg-black/70,2026-03-08
1772973136627,17720957805501,10,1,bg-black/70,2026-03-08
1772973169684,17720957805507,10,1,bg-black/70,2026-03-08
1772973239743,17717925130010,10,1,bg-black/70,2026-03-08
1772973265358,17720959456350,60,1,bg-blue-500/80,2026-03-08
1772973286287,17720959456352,30,1,bg-black/70,2026-03-08
1772973353336,17720959963533,30,1,bg-black/70,2026-03-08
1772973424555,17720962137592,30,2,bg-black/70,2026-03-08
1772973459395,17720962137591,10,1,bg-black/70,2026-03-08
1772973506037,17720962137594,30,3,bg-black/70,2026-03-08
1772973624692,17718186878541,80,1,bg-blue-500/80,2026-03-08
1772973699238,17721126389833,10,1,bg-black/70,2026-03-08
1772973716040,17721126389838,50,1,bg-black/70,2026-03-08
1772973746545,17721126994988,30,1,bg-black/70,2026-03-08
1772973772709,17721126994983,10,2,bg-black/70,2026-03-08
1772973787411,17721126994987,10,1,bg-black/70,2026-03-08
1772973851735,17717896219480,50,0,bg-black/70,2026-03-08
1772973873032,17717897006980,30,1,bg-black/70,2026-03-08
1772973906495,17719861142742,15,1,bg-black/70,2026-03-08
1772973953686,17719861142743,10,1,bg-black/70,2026-03-08
1772973959540,17719861142744,10,1,bg-black/70,2026-03-08
1772973964630,17719861142745,10,1,bg-black/70,2026-03-08
1772973992653,17719864607720,10,1,bg-black/70,2026-03-08
1772973998813,17719864607723,10,1,bg-black/70,2026-03-08
1772974008386,17719865465340,10,1,bg-black/70,2026-03-08
1772974013348,17719865465341,10,1,bg-black/70,2026-03-08
